,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Labels,Numeric_Labels
262,2011.0,0.12,1.29,0.12,0.49,3.17,78.0,1010.0,H,1
263,2001.0,2.06,0.56,0.38,0.17,3.17,22.0,95.0,H,1
264,2001.0,1.92,0.16,0.99,0.09,3.15,42.0,137.0,H,1
265,2007.0,0.68,0.04,0.05,2.46,3.14,12.0,36.0,L,0
266,2008.0,1.87,0.97,0.04,0.03,3.14,17.0,17.0,L,0
267,2000.0,1.7,1.25,0.02,0.16,3.13,19.0,107.0,H,1
268,2012.0,0.19,1.09,0.76,0.22,3.13,45.0,155.0,L,0
269,1998.0,0.17,0.86,0.13,0.13,3.12,13.0,18.0,L,0
270,2005.0,1.21,1.56,0.06,0.29,3.12,43.0,101.0,H,1
271,2008.0,0.55,0.5,1.93,0.13,3.11,48.0,63.0,H,1
272,2010.0,1.52,1.03,0.1,0.02,3.11,57.0,492.0,H,1
273,2006.0,0.9,1.0,1.03,0.17,3.11,12.0,13.0,L,0
274,2007.0,1.69,0.85,0.14,0.43,3.1,45.0,604.0,H,1
275,2013.0,1.4,1.01,0.46,0.23,3.1,81.0,1057.0,H,1
276,2012.0,0.88,0.94,0.88,0.4,3.1,34.0,1304.0,L,0
277,2010.0,1.99,0.81,0.03,0.27,3.1,98.0,3143.0,H,1
278,2002.0,2.17,0.28,0.55,0.08,3.09,28.0,71.0,L,0
279,2001.0,2.5,0.16,0.01,0.42,3.08,23.0,46.0,H,1
280,2002.0,1.72,1.21,0.1,0.14,3.07,18.0,22.0,L,0
281,2015.0,0.51,1.02,1.4,0.12,3.05,60.0,106.0,L,0
282,2012.0,1.89,0.88,0.04,0.25,3.05,59.0,892.0,H,1
283,2008.0,1.75,1.01,0.04,0.29,3.05,16.0,16.0,L,0
284,2008.0,1.91,0.84,0.04,0.29,3.04,42.0,32.0,L,0
285,2012.0,1.94,0.84,0.03,0.24,3.04,74.0,3725.0,H,1
286,2010.0,1.29,1.21,0.06,0.47,3.03,107.0,2759.0,H,1
287,2008.0,1.94,0.79,0.02,0.28,3.03,75.0,307.0,L,0
288,2002.0,1.85,1.04,0.1,0.13,3.02,46.0,121.0,H,1
